20
5 8
14 16 18
14 17 13
14 20 15
14 26 12
14 27 10
14 29 19
15 16 17
15 19 4
15 29 2
16 22 18
16 23 19
16 26 11
16 27 8
16 30 8
17 26 15
18 19 13
18 25 13
18 29 14
19 22 4
19 25 4
20 22 7
20 28 6
21 28 6
21 30 12
22 30 14
23 24 16
23 25 7
23 28 5
23 30 10
24 30 11
25 28 5
25 29 5
26 30 13
28 30 2
